cand,players,tag,salary,book_rank,book_rank_cov,sel_mean,sel_p194,aud_mean,aud_p194,gen_mean,book_rank_wemax,actual,actual_rank,actual_payout,e_payout,p_cash,p_top1000,p_top100,sim_mean,sim_q99,e_payout_capped,e_log
541,"00-0026158,00-0033293,00-0036410,00-0036900,00-0036912,00-0036963,00-0038129,00-0040236,PHI_DST",boom,49900,,,116.67129,0.0015,116.67127,0.0019,116.6713,,91.1,802357,0.0,1.4113,0.143,0.0002,0.0,116.67129,176.32378,1.4113,0.3310812897109529
542,"00-0032464,00-0036275,00-0038542,00-0038559,00-0039918,00-0040124,00-0040126,00-0040666,LV_DST",boom,49800,,,119.24614,0.0037,119.24614,0.0031,119.24614,,164.76,178861,0.0,3.8397,0.1936,0.003,0.0003,119.24615,184.99869,3.2897,0.47450591232291484
543,"00-0033921,00-0034855,00-0036040,00-0036275,00-0036410,00-0039040,00-0039361,00-0040129,JAX_DST",boom,49500,4.0,8.0,126.00215,0.0099,126.00215,0.0107,126.00215,16.0,137.84,459366,0.0,6.7491,0.2849,0.0055,0.0007,126.00215,193.93958,5.5491,0.7106479643632497
544,"00-0034844,00-0036223,00-0037239,00-0038997,00-0039139,00-0040189,00-0040743,00-0041067,JAX_DST",boom,49700,,,120.86783,0.0028,120.86783,0.0015,120.86783,,164.2,183498,0.0,2.3504,0.1836,0.0007,0.0001,120.86783,179.94017,2.2004,0.42820138728990603
545,"00-0034827,00-0034857,00-0035685,00-0036900,00-0038933,00-0039344,00-0039890,00-0039915,JAX_DST",boom,49300,,,115.14078,0.0011,115.14078,0.0019,115.14078,,164.16,183814,0.0,2.8942,0.144,0.0012,0.0003,115.140785,173.23094,2.0442,0.3449500759782616
546,"00-0031588,00-0036389,00-0036912,00-0038120,00-0038997,00-0039361,00-0040126,00-0040867,JAX_DST",boom,49300,,,114.16859,0.0012,114.16857,0.0012,114.16859,,113.82,694415,0.0,1.8556,0.1354,0.0013,0.0001,114.16859,173.78711,1.7556,0.3213949811070941
547,"00-0033921,00-0034855,00-0035640,00-0036410,00-0036963,00-0038129,00-0039139,00-0039874,JAX_DST",boom,49900,,,121.53818,0.0035,121.53818,0.0036,121.53818,,124.64,601292,0.0,3.0916,0.2025,0.0012,0.0005,121.538185,183.75449,2.6916,0.4756252199990724
548,"00-0034796,00-0036550,00-0036963,00-0039064,00-0039139,00-0039890,00-0040128,00-0040583,JAX_DST",boom,49900,,,119.31812,0.0032,119.31812,0.0039,119.31812,,161.56,206529,0.0,2.7368,0.1926,0.0017,0.0001,119.31812,182.74971,2.6368,0.4625031354929243
549,"00-0038542,00-0038559,00-0039150,00-0040122,00-0040124,00-0040126,00-0040218,00-0040666,JAX_DST",boom,49400,,,117.72625,0.0012,117.72625,0.0009,117.72625,,145.84,368746,0.0,1.8607,0.1602,0.0007,0.0001,117.72625,173.83359,1.8107,0.37522109419744293
550,"00-0036555,00-0036900,00-0036912,00-0037240,00-0038120,00-0040584,00-0040676,00-0041438,JAX_DST",boom,49100,,,117.97186,0.0019,117.97186,0.0008,117.97185,,105.8,745554,0.0,3.4579,0.1626,0.0017,0.0003,117.97186,175.87987,2.3579,0.38792870652761746
551,"00-0032950,00-0036223,00-0036322,00-0038994,00-0039361,00-0039811,00-0040126,00-0040129,JAX_DST",boom,49800,,,120.37305,0.0025,120.37305,0.0026,120.37305,,125.82,589711,0.0,4.1142,0.2129,0.0032,0.0004,120.37306,181.17287,3.6142,0.5184270261085365
