season,week,pos,pts,salary,proven_any,proven_noinj
2022,1,WR,30.1,5500.0,True,True
2022,1,WR,31.9,7100.0,True,True
2022,1,TE,17.8,2500.0,True,False
2022,1,QB,37.9,7700.0,True,True
2022,1,RB,36.400000000000006,6100.0,True,True
2022,1,RB,29.5,6800.0,True,True
2022,2,WR,45.0,7100.0,True,True
2022,2,WR,43.1,6400.0,True,True
2022,2,TE,28.700000000000003,6400.0,True,True
2022,2,WR,33.0,4400.0,False,False
2022,2,RB,32.300000000000004,7100.0,True,True
2022,2,WR,42.400000000000006,6500.0,True,True
2022,2,RB,0.0,200.0,False,False
2022,2,QB,48.62,7400.0,True,True
2022,3,RB,25.3,5800.0,True,True
2022,3,TE,28.9,6900.0,True,True
2022,3,RB,33.900000000000006,5200.0,True,False
2022,3,WR,31.0,6000.0,True,True
2022,3,WR,32.96,3300.0,False,False
2022,3,WR,26.700000000000003,4500.0,False,False
2022,3,WR,33.900000000000006,5200.0,True,True
2022,3,QB,43.42,8000.0,True,True
2022,4,RB,37.5,5500.0,True,True
2022,4,WR,21.0,3000.0,False,False
2022,4,RB,32.6,6000.0,True,True
2022,4,RB,34.9,7700.0,True,True
2022,4,WR,22.0,7000.0,True,True
2022,4,WR,24.9,6800.0,True,True
2022,4,TE,42.900000000000006,4100.0,True,True
2022,4,QB,37.220000000000006,5900.0,True,True
2022,5,RB,35.900000000000006,6900.0,True,True
2022,5,WR,33.32,8900.0,True,True
2022,5,TE,14.8,3800.0,True,True
2022,5,RB,38.9,7800.0,True,True
2022,5,RB,30.700000000000003,5400.0,False,False
2022,5,WR,35.1,6400.0,True,False
2022,5,QB,37.08,4900.0,True,False
2022,5,WR,27.5,3000.0,False,False
2022,6,RB,22.7,4000.0,True,True
2022,6,WR,33.8,8400.0,True,True
2022,6,WR,35.2,7700.0,True,True
2022,6,RB,28.1,5200.0,False,False
2022,6,WR,29.4,6900.0,True,True
2022,6,TE,24.9,3100.0,True,True
2022,6,WR,28.3,5400.0,True,True
2022,6,QB,35.5,6700.0,True,True
2022,7,WR,32.5,5300.0,True,True
2022,7,RB,39.5,6500.0,True,True
2022,7,TE,21.8,5300.0,True,True
2022,7,WR,28.0,4300.0,True,True
2022,7,WR,22.7,3400.0,True,False
2022,7,RB,31.7,5800.0,False,False
2022,7,RB,36.7,8300.0,True,True
2022,7,QB,42.24,6900.0,True,True
2022,8,WR,36.9,7400.0,True,True
2022,8,RB,34.8,5300.0,True,False
2022,8,WR,30.5,5300.0,False,False
2022,8,RB,36.7,6100.0,False,False
2022,8,RB,42.8,7100.0,True,True
2022,8,TE,25.9,3200.0,True,True
2022,8,WR,42.6,7700.0,True,True
2022,8,QB,26.04,5200.0,True,False
2022,9,RB,58.099999999999994,6500.0,True,True
2022,9,WR,21.6,5100.0,False,False
2022,9,TE,17.8,3100.0,False,False
2022,9,WR,39.6,8100.0,True,True
2022,9,WR,30.3,8500.0,True,True
2022,9,QB,45.72,5300.0,True,True
2022,9,TE,22.0,3000.0,False,False
2022,9,RB,30.9,6200.0,True,True
2022,10,WR,41.0,7000.0,True,True
2022,10,WR,35.7,3700.0,False,False
2022,10,RB,26.6,7200.0,True,True
2022,10,WR,31.9,3500.0,True,False
2022,10,QB,43.38,6500.0,True,True
2022,10,TE,23.4,3400.0,True,True
2022,10,RB,27.300000000000004,7500.0,True,True
2022,10,WR,38.3,8800.0,True,True
2022,11,WR,24.8,4000.0,False,False
2022,11,RB,27.6,5500.0,True,True
2022,11,TE,15.9,4200.0,True,True
2022,11,RB,30.2,5100.0,False,False
2022,11,WR,34.3,6400.0,True,True
2022,11,RB,39.9,6500.0,True,True
2022,11,WR,36.1,8700.0,True,True
2022,11,QB,29.86,5400.0,False,False
2022,12,WR,30.5,4600.0,True,True
2022,12,TE,17.6,2500.0,False,False
2022,12,WR,26.4,4300.0,True,True
2022,12,WR,27.4,6900.0,True,True
2022,12,RB,25.0,6600.0,True,True
2022,12,RB,51.300000000000004,7700.0,True,True
2022,12,WR,32.0,6000.0,True,False
2022,12,QB,28.94,5500.0,True,True
2022,13,WR,37.6,7100.0,True,True
2022,13,RB,24.5,6000.0,True,True
2022,13,RB,0.0,200.0,True,True
2022,13,WR,40.7,8700.0,True,True
2022,13,WR,27.2,5300.0,True,True
2022,13,TE,14.2,3000.0,True,True
2022,13,WR,34.9,7800.0,True,True
2022,13,QB,37.400000000000006,8000.0,True,True
2022,14,WR,25.4,3400.0,False,False
2022,14,QB,36.42,5700.0,True,True
2022,14,TE,42.2,3300.0,True,True
2022,14,RB,35.4,4600.0,False,False
2022,14,WR,33.3,5400.0,True,True
