season,n,pos,CEIL,MEAN,SALARY,p100_CEIL,p100_MEAN,p100_SAL,rank_corr
2018,6190,190,0.8523122807017544,0.8792175438596491,0.8763548245614035,0.2,0.28,0.26,0.9192427336794239
2019,6226,168,0.8523842931031772,0.8733954707667154,0.8777762384253801,0.25,0.18,0.23,0.9231827044698749
2020,6356,181,0.8641376070861386,0.8765428232715234,0.872302771378084,0.22,0.27,0.22,0.9314517153903298
2021,6922,155,0.8813006192289908,0.8912540459630941,0.892905799968538,0.21,0.24,0.19,0.8989857670335575
2022,13246,151,0.9247091428152396,0.9390546414510366,0.926695897782127,0.2,0.27,0.23,0.7944954322240195
2023,13084,129,0.9310631015530803,0.9400913717429743,0.9355144073552158,0.23,0.21,0.18,0.7603616808364937
2024,13132,131,0.929076506739646,0.9389982332539305,0.9228928954965884,0.16,0.18,0.13,0.7749043753380298
2025,12845,133,0.9298963267198834,0.9368076815701936,0.9253972920028202,0.19,0.23,0.22,0.8094537335925863
