objective,cap,contest,rows,best,mean
mean_greedy,25%,supersat1b,10,158.42,116.74
mean_greedy,25%,supersat1c,10,183.56,127.97
mean_greedy,25%,supersat25a,16,159.16,124.71
mean_greedy,25%,supersat25b,16,153.8,116.62
mean_greedy,25%,ffwcsat,2,143.66,133.23
dual_emax,20%,milly,1,82.62,82.62
dual_emax,20%,flea,23,157.96,102.55
dual_emax,20%,huddle,1,79.42,79.42
dual_emax,20%,nickel,5,108.58,81.48
dual_emax,20%,pylon,1,64.2,64.2
dual_emax,20%,satellite,2,115.72,101.75
dual_emax,20%,supersat1a,10,148.26,113.56
dual_emax,20%,supersat1b,10,184.54,123.47
dual_emax,20%,supersat1c,10,158.28,125.44
dual_emax,20%,supersat25a,16,166.56,121.36
dual_emax,20%,supersat25b,16,159.92,123.73
dual_emax,20%,ffwcsat,2,138.7,135.09
mean_greedy,20%,milly,1,53.56,53.56
mean_greedy,20%,flea,23,150.32,73.38
mean_greedy,20%,huddle,1,69.78,69.78
mean_greedy,20%,nickel,5,149.2,133.77
mean_greedy,20%,pylon,1,109.18,109.18
mean_greedy,20%,satellite,2,141.86,121.62
mean_greedy,20%,supersat1a,10,169.62,121.67
mean_greedy,20%,supersat1b,10,183.56,123.73
mean_greedy,20%,supersat1c,10,159.16,131.61
mean_greedy,20%,supersat25a,16,153.8,118.07
mean_greedy,20%,supersat25b,16,152.86,108.83
mean_greedy,20%,ffwcsat,2,96.68,96.34
dual_emax,proposal,milly,1,91.78,91.78
dual_emax,proposal,flea,23,156.16,108.31
dual_emax,proposal,huddle,1,101.42,101.42
dual_emax,proposal,nickel,5,134.62,100.21
dual_emax,proposal,pylon,1,97.24,97.24
dual_emax,proposal,satellite,2,120.78,95.79
dual_emax,proposal,supersat1a,10,145.42,106.9
dual_emax,proposal,supersat1b,10,170.22,127.5
dual_emax,proposal,supersat1c,10,184.54,135.58
dual_emax,proposal,supersat25a,16,159.92,117.32
dual_emax,proposal,supersat25b,16,143.36,112.75
dual_emax,proposal,ffwcsat,2,166.56,134.32
mean_greedy,proposal,milly,1,98.16,98.16
mean_greedy,proposal,flea,23,126.82,99.05
mean_greedy,proposal,huddle,1,96.4,96.4
mean_greedy,proposal,nickel,5,120.62,95.34
mean_greedy,proposal,pylon,1,123.78,123.78
mean_greedy,proposal,satellite,2,149.2,144.76
mean_greedy,proposal,supersat1a,10,158.42,123.44
mean_greedy,proposal,supersat1b,10,183.56,115.73
mean_greedy,proposal,supersat1c,10,168.48,118.94
mean_greedy,proposal,supersat25a,16,159.16,120.26
mean_greedy,proposal,supersat25b,16,143.66,108.99
mean_greedy,proposal,ffwcsat,2,143.66,118.45
