ordinal,season,week,finish,pool_ceiling,fp-on-sis-on-v1:k20_max,fp-on-sis-on-v1:k20_neg_best_pct,fp-on-sis-on-v1:k20_ge194,fp-on-sis-on-v1:k20_ge200,fp-on-sis-on-v1:k20_ge220,fp-on-sis-on-v1:k20_ev_cash,fp-on-sis-on-v1:k20_ev_top100,fp-on-sis-on-v1:k20_ev_top1000,fp-on-sis-on-v1:k40_max,fp-on-sis-on-v1:k40_neg_best_pct,fp-on-sis-on-v1:k40_ge194,fp-on-sis-on-v1:k40_ge200,fp-on-sis-on-v1:k40_ge220,fp-on-sis-on-v1:k40_ev_cash,fp-on-sis-on-v1:k40_ev_top100,fp-on-sis-on-v1:k40_ev_top1000,fp-on-sis-on-v1:k80_max,fp-on-sis-on-v1:k80_neg_best_pct,fp-on-sis-on-v1:k80_ge194,fp-on-sis-on-v1:k80_ge200,fp-on-sis-on-v1:k80_ge220,fp-on-sis-on-v1:k80_ev_cash,fp-on-sis-on-v1:k80_ev_top100,fp-on-sis-on-v1:k80_ev_top1000,fp-on-sis-on-v1:admitted_ceiling,fp-on-sis-on-v1:k80_jaccard,fp-on-sis-on-v1:k20_jaccard,fp-on-sis-on-v1:adm_jaccard,fp-on-sis-on-v1:raw_changes,fp-on-sis-on-v1:edge_changes,fp-off-sis-on-v1:k20_max,fp-off-sis-on-v1:k20_neg_best_pct,fp-off-sis-on-v1:k20_ge194,fp-off-sis-on-v1:k20_ge200,fp-off-sis-on-v1:k20_ge220,fp-off-sis-on-v1:k20_ev_cash,fp-off-sis-on-v1:k20_ev_top100,fp-off-sis-on-v1:k20_ev_top1000,fp-off-sis-on-v1:k40_max,fp-off-sis-on-v1:k40_neg_best_pct,fp-off-sis-on-v1:k40_ge194,fp-off-sis-on-v1:k40_ge200,fp-off-sis-on-v1:k40_ge220,fp-off-sis-on-v1:k40_ev_cash,fp-off-sis-on-v1:k40_ev_top100,fp-off-sis-on-v1:k40_ev_top1000,fp-off-sis-on-v1:k80_max,fp-off-sis-on-v1:k80_neg_best_pct,fp-off-sis-on-v1:k80_ge194,fp-off-sis-on-v1:k80_ge200,fp-off-sis-on-v1:k80_ge220,fp-off-sis-on-v1:k80_ev_cash,fp-off-sis-on-v1:k80_ev_top100,fp-off-sis-on-v1:k80_ev_top1000,fp-off-sis-on-v1:admitted_ceiling,fp-off-sis-on-v1:k80_jaccard,fp-off-sis-on-v1:k20_jaccard,fp-off-sis-on-v1:adm_jaccard,fp-off-sis-on-v1:raw_changes,fp-off-sis-on-v1:edge_changes,fp-on-sis-off-v1:k20_max,fp-on-sis-off-v1:k20_neg_best_pct,fp-on-sis-off-v1:k20_ge194,fp-on-sis-off-v1:k20_ge200,fp-on-sis-off-v1:k20_ge220,fp-on-sis-off-v1:k20_ev_cash,fp-on-sis-off-v1:k20_ev_top100,fp-on-sis-off-v1:k20_ev_top1000,fp-on-sis-off-v1:k40_max,fp-on-sis-off-v1:k40_neg_best_pct,fp-on-sis-off-v1:k40_ge194,fp-on-sis-off-v1:k40_ge200,fp-on-sis-off-v1:k40_ge220,fp-on-sis-off-v1:k40_ev_cash,fp-on-sis-off-v1:k40_ev_top100,fp-on-sis-off-v1:k40_ev_top1000,fp-on-sis-off-v1:k80_max,fp-on-sis-off-v1:k80_neg_best_pct,fp-on-sis-off-v1:k80_ge194,fp-on-sis-off-v1:k80_ge200,fp-on-sis-off-v1:k80_ge220,fp-on-sis-off-v1:k80_ev_cash,fp-on-sis-off-v1:k80_ev_top100,fp-on-sis-off-v1:k80_ev_top1000,fp-on-sis-off-v1:admitted_ceiling,fp-on-sis-off-v1:k80_jaccard,fp-on-sis-off-v1:k20_jaccard,fp-on-sis-off-v1:adm_jaccard,fp-on-sis-off-v1:raw_changes,fp-on-sis-off-v1:edge_changes,fp-off-sis-off-v1:k20_max,fp-off-sis-off-v1:k20_neg_best_pct,fp-off-sis-off-v1:k20_ge194,fp-off-sis-off-v1:k20_ge200,fp-off-sis-off-v1:k20_ge220,fp-off-sis-off-v1:k20_ev_cash,fp-off-sis-off-v1:k20_ev_top100,fp-off-sis-off-v1:k20_ev_top1000,fp-off-sis-off-v1:k40_max,fp-off-sis-off-v1:k40_neg_best_pct,fp-off-sis-off-v1:k40_ge194,fp-off-sis-off-v1:k40_ge200,fp-off-sis-off-v1:k40_ge220,fp-off-sis-off-v1:k40_ev_cash,fp-off-sis-off-v1:k40_ev_top100,fp-off-sis-off-v1:k40_ev_top1000,fp-off-sis-off-v1:k80_max,fp-off-sis-off-v1:k80_neg_best_pct,fp-off-sis-off-v1:k80_ge194,fp-off-sis-off-v1:k80_ge200,fp-off-sis-off-v1:k80_ge220,fp-off-sis-off-v1:k80_ev_cash,fp-off-sis-off-v1:k80_ev_top100,fp-off-sis-off-v1:k80_ev_top1000,fp-off-sis-off-v1:admitted_ceiling,fp-off-sis-off-v1:k80_jaccard,fp-off-sis-off-v1:k20_jaccard,fp-off-sis-off-v1:adm_jaccard,fp-off-sis-off-v1:raw_changes,fp-off-sis-off-v1:edge_changes
10,2023,11,True,191.16,158.14,-0.061545,0,0,0,5,0,0,165.54,-0.029205,0,0,0,9,0,0,165.54,-0.029205,0,0,0,18,0,0,182.94,1.0,1.0,1.0,0,0,155.64,-0.077525,0,0,0,2,0,0,155.64,-0.077525,0,0,0,4,0,0,155.64,-0.077525,0,0,0,10,0,0,170.48,0.1267605633802817,0.08108108108108109,0.15942028985507245,677,318,159.44,-0.054245,0,0,0,4,0,0,161.92,-0.042645,0,0,0,7,0,0,161.92,-0.042645,0,0,0,13,0,0,182.94,0.08108108108108109,0.02564102564102564,0.14942528735632185,353,214,155.64,-0.077525,0,0,0,2,0,0,155.64,-0.077525,0,0,0,4,0,0,155.64,-0.077525,0,0,0,9,0,0,170.48,0.0958904109589041,0.08108108108108109,0.1396011396011396,806,318
11,2023,12,True,191.36,160.76,-0.119465,0,0,0,1,0,0,160.76,-0.119465,0,0,0,1,0,0,170.06,-0.05409,0,0,0,3,0,0,170.06,1.0,1.0,1.0,0,0,160.76,-0.119465,0,0,0,1,0,0,160.76,-0.119465,0,0,0,1,0,0,170.06,-0.05409,0,0,0,3,0,0,170.06,0.10344827586206896,0.05263157894736842,0.12994350282485875,627,280,136.06,-0.49,0,0,0,0,0,0,151.46,-0.227315,0,0,0,0,0,0,151.46,-0.227315,0,0,0,0,0,0,165.06,0.20300751879699247,0.17647058823529413,0.2422360248447205,309,187,146.26,-0.306475,0,0,0,0,0,0,153.86,-0.1954,0,0,0,1,0,0,170.06,-0.05409,0,0,0,2,0,0,170.06,0.05263157894736842,0.02564102564102564,0.06666666666666667,742,283
12,2023,13,True,198.16,159.76,-0.079875,0,0,0,2,0,0,159.76,-0.079875,0,0,0,2,0,0,159.76,-0.079875,0,0,0,5,0,0,159.76,1.0,1.0,1.0,0,0,163.96,-0.057655,0,0,0,3,0,0,163.96,-0.057655,0,0,0,5,0,0,186.38,-0.00604,0,0,0,13,0,0,186.38,0.08108108108108109,0.14285714285714285,0.13314447592067988,658,296,158.96,-0.084855,0,0,0,3,0,0,162.16,-0.066275,0,0,0,4,0,0,162.34,-0.065455,0,0,0,6,0,0,162.34,0.24031007751937986,0.21212121212121213,0.36054421768707484,328,197,164.96,-0.053175,0,0,0,3,0,0,164.96,-0.053175,0,0,0,4,0,0,186.38,-0.00604,0,0,0,11,0,0,186.38,0.08108108108108109,0.08108108108108109,0.13314447592067988,772,296
13,2023,14,True,199.88,184.68,-0.01248,0,0,0,8,0,0,184.68,-0.01248,0,0,0,14,0,0,184.68,-0.01248,0,0,0,25,0,0,192.14,1.0,1.0,1.0,0,0,184.88,-0.01223,0,0,0,7,0,0,193.78,-0.0042,0,0,0,13,0,0,193.78,-0.0042,0,0,0,15,0,0,193.78,0.11888111888111888,0.17647058823529413,0.1267605633802817,671,321,184.68,-0.01248,0,0,0,8,0,0,193.78,-0.0042,0,0,0,13,0,0,193.78,-0.0042,0,0,0,21,0,0,195.78,0.24031007751937986,0.3793103448275862,0.27388535031847133,354,213,184.88,-0.01223,0,0,0,6,0,0,193.78,-0.0042,0,0,0,12,0,0,193.78,-0.0042,0,0,0,16,0,0,193.78,0.1111111111111111,0.17647058823529413,0.10192837465564739,795,324
14,2023,15,True,209.66,158.26,-0.13165,0,0,0,3,0,0,158.26,-0.13165,0,0,0,3,0,0,168.52,-0.06205,0,0,0,7,0,0,175.36,1.0,1.0,1.0,0,0,166.06,-0.07552,0,0,0,4,0,0,166.06,-0.07552,0,0,0,5,0,0,166.06,-0.07552,0,0,0,6,0,0,179.48,0.1267605633802817,0.05263157894736842,0.14613180515759314,616,292,160.94,-0.109975,0,0,0,2,0,0,168.52,-0.06205,0,0,0,3,0,0,168.52,-0.06205,0,0,0,7,0,0,180.22,0.25,0.21212121212121213,0.27388535031847133,321,201,166.06,-0.07552,0,0,0,3,0,0,166.06,-0.07552,0,0,0,4,0,0,180.22,-0.02125,0,0,0,6,0,0,180.22,0.1267605633802817,0.08108108108108109,0.14613180515759314,725,292
15,2023,16,True,202.72,187.14,-0.023755,0,0,0,3,0,0,187.14,-0.023755,0,0,0,6,0,0,187.14,-0.023755,0,0,0,13,0,0,202.44,1.0,1.0,1.0,0,0,154.98,-0.176275,0,0,0,1,0,0,181.04,-0.0365,0,0,0,3,0,0,181.04,-0.0365,0,0,0,10,0,0,195.5,0.0958904109589041,0.05263157894736842,0.12359550561797752,525,260,160.92,-0.129715,0,0,0,3,0,0,174.84,-0.05572,0,0,0,8,0,0,181.04,-0.0365,0,0,0,14,0,0,181.04,0.14285714285714285,0.08108108108108109,0.2084592145015106,283,167,154.98,-0.176275,0,0,0,1,0,0,202.72,-0.007095,1,1,0,4,0,0,202.72,-0.007095,1,1,0,13,0,0,202.72,0.0738255033557047,0.08108108108108109,0.0989010989010989,624,260
16,2023,17,True,213.74,138.6,-0.142985,0,0,0,3,0,0,181.68,-0.002325,0,0,0,10,0,0,181.68,-0.002325,0,0,0,13,0,0,181.68,1.0,1.0,1.0,0,0,158.78,-0.028855,0,0,0,5,0,0,158.78,-0.028855,0,0,0,5,0,0,158.78,-0.028855,0,0,0,9,0,0,167.4,0.1111111111111111,0.1111111111111111,0.19760479041916168,803,392,181.68,-0.002325,0,0,0,6,0,0,181.68,-0.002325,0,0,0,8,0,0,181.68,-0.002325,0,0,0,20,0,0,181.68,0.0958904109589041,0.05263157894736842,0.21580547112462006,408,248,158.78,-0.028855,0,0,0,2,0,0,158.78,-0.028855,0,0,0,2,0,0,158.78,-0.028855,0,0,0,5,0,0,166.38,0.08843537414965986,0.05263157894736842,0.13636363636363635,953,393
17,2023,18,True,184.12,181.86,-0.01341,0,0,0,2,0,0,181.86,-0.01341,0,0,0,3,0,0,181.86,-0.01341,0,0,0,4,0,0,181.86,1.0,1.0,1.0,0,0,181.86,-0.01341,0,0,0,3,0,0,181.86,-0.01341,0,0,0,3,0,0,181.86,-0.01341,0,0,0,5,0,0,181.86,0.1347517730496454,0.25,0.16279069767441862,773,368,181.86,-0.01341,0,0,0,3,0,0,181.86,-0.01341,0,0,0,4,0,0,181.86,-0.01341,0,0,0,5,0,0,181.86,0.21212121212121213,0.14285714285714285,0.2422360248447205,406,246,181.86,-0.01341,0,0,0,3,0,0,181.86,-0.01341,0,0,0,4,0,0,181.86,-0.01341,0,0,0,7,0,0,181.86,0.1347517730496454,0.25,0.16279069767441862,913,375
18,2024,1,True,170.66,159.36,-0.005665,0,0,0,4,0,0,159.36,-0.005665,0,0,0,13,0,0,166.76,-0.00173,0,0,0,22,0,0,166.76,1.0,1.0,1.0,0,0,158.56,-0.006275,0,0,0,5,0,0,158.56,-0.006275,0,0,0,10,0,0,158.56,-0.006275,0,0,0,18,0,0,158.56,0.1510791366906475,0.14285714285714285,0.1396011396011396,494,322,158.56,-0.006275,0,0,0,4,0,0,158.56,-0.006275,0,0,0,12,0,0,158.56,-0.006275,0,0,0,22,0,0,161.46,0.6,0.5384615384615384,0.6528925619834711,157,100,158.56,-0.006275,0,0,0,7,0,0,158.56,-0.006275,0,0,0,13,0,0,158.56,-0.006275,0,0,0,22,0,0,158.56,0.1347517730496454,0.1111111111111111,0.12044817927170869,651,328
19,2024,2,True,208.08,175.14,-0.008555,0,0,0,3,0,0,175.14,-0.008555,0,0,0,7,0,0,207.18,-6.5e-05,1,1,0,15,1,1,207.18,1.0,1.0,1.0,0,0,148.28,-0.1135,0,0,0,3,0,0,162.44,-0.03397,0,0,0,7,0,0,162.44,-0.03397,0,0,0,11,0,0,187.54,0.1267605633802817,0.1111111111111111,0.19047619047619047,507,331,148.9,-0.108325,0,0,0,2,0,0,170.44,-0.01476,0,0,0,7,0,0,207.18,-6.5e-05,1,1,0,15,1,2,207.18,0.4953271028037383,0.48148148148148145,0.5625,141,98,162.44,-0.03397,0,0,0,3,0,0,162.44,-0.03397,0,0,0,3,0,0,187.54,-0.00179,0,0,0,11,0,0,203.76,0.11888111888111888,0.1111111111111111,0.15273775216138327,648,331
