season,week,score_rank,tag,entry_ix,lineup_score,player,pos,team,salary,proj,actual
2023,1,15,lev,124,173.3,ARI DST,DST,ARI,2500,7.4,19.0
2023,2,6,boom,58,159.1,ARI DST,DST,ARI,2600,7.9,4.0
2023,2,19,game,24,148.5,ARI DST,DST,ARI,2600,7.9,4.0
2023,2,64,boom,49,130.8,ARI DST,DST,ARI,2600,7.9,4.0
2023,2,76,dark,11,126.8,ARI DST,DST,ARI,2600,7.9,4.0
2023,2,126,boom,43,108.9,ARI DST,DST,ARI,2600,7.9,4.0
2023,2,150,boom,32,67.2,ARI DST,DST,ARI,2600,7.9,4.0
2023,3,91,boom,17,134.5,ARI DST,DST,ARI,2300,5.1,5.0
2023,3,121,boom,73,122.0,ARI DST,DST,ARI,2300,5.1,5.0
2023,4,130,boom,58,98.7,ARI DST,DST,ARI,2200,4.1,-3.0
2023,15,146,boom,37,88.0,ARI DST,DST,ARI,2200,3.2,-4.0
2023,1,7,lev,32,179.2,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,8,lev,36,178.7,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,14,lev,59,174.3,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,17,lev,97,171.6,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,29,lev,71,163.7,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,41,lev,126,160.7,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,50,lev,72,158.8,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,54,lev,135,158.4,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,58,lev,63,157.3,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,67,lev,68,154.6,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,69,lev,122,153.7,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,78,lev,128,151.7,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,82,game,77,150.7,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,96,dark,20,144.2,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,100,dark,50,140.7,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,133,boom,26,99.5,ATL DST,DST,ATL,3200,9.0,12.0
2023,1,139,boom,39,94.0,ATL DST,DST,ATL,3200,9.0,12.0
2023,2,9,boom,5,155.7,ATL DST,DST,ATL,2900,9.6,1.0
2023,2,53,boom,27,133.6,ATL DST,DST,ATL,2900,9.6,1.0
2023,2,79,boom,26,126.1,ATL DST,DST,ATL,2900,9.6,1.0
2023,2,84,boom,41,125.1,ATL DST,DST,ATL,2900,9.6,1.0
2023,2,91,boom,4,122.3,ATL DST,DST,ATL,2900,9.6,1.0
2023,2,96,boom,46,120.7,ATL DST,DST,ATL,2900,9.6,1.0
2023,2,102,boom,6,119.6,ATL DST,DST,ATL,2900,9.6,1.0
2023,2,105,boom,2,118.5,ATL DST,DST,ATL,2900,9.6,1.0
2023,2,106,boom,63,118.5,ATL DST,DST,ATL,2900,9.6,1.0
2023,2,111,boom,64,116.8,ATL DST,DST,ATL,2900,9.6,1.0
