season,week,n,mae,naive_mae,rank_corr,cov_p10,cov_p90
2018,2,247,5.203406514313673,6.981538461538462,0.6724692263852916,0.04048582995951417,0.8502024291497976
2018,3,273,5.165320387933092,5.480769230769232,0.6326683317993156,0.06227106227106227,0.8644688644688645
2018,4,258,6.277891298832348,6.58326873385013,0.5757184073554643,0.08914728682170543,0.8023255813953488
2018,5,267,4.720502927431884,5.161454431960051,0.6941597998968494,0.07865168539325842,0.8838951310861424
2018,6,258,5.65277693257569,5.82609173126615,0.6499194804134424,0.06589147286821706,0.8565891472868217
2018,7,251,5.191883496035689,5.337416998671978,0.6066832205181946,0.0796812749003984,0.8725099601593626
2018,8,245,5.069371325218357,5.322360544217688,0.6874033611554631,0.05714285714285714,0.8775510204081632
2018,9,228,4.996726497719389,5.56359649122807,0.6631793577970411,0.06140350877192982,0.8859649122807017
2018,10,257,5.2899171273887236,5.716193255512322,0.6816097939470539,0.09727626459143969,0.8832684824902723
2018,11,233,5.652669528738687,5.68840486409156,0.6438059093227156,0.12017167381974249,0.8841201716738197
2018,12,273,5.215571332567189,5.487503052503053,0.6497836538038294,0.06593406593406594,0.8717948717948718
2018,13,280,5.044427958484196,5.268863095238095,0.5685821236826334,0.07857142857142857,0.9071428571428571
2018,14,291,5.534996784121405,5.472508591065292,0.5510634315921361,0.13058419243986255,0.8865979381443299
2018,15,287,5.19238018057396,5.584564459930314,0.518141668313295,0.1289198606271777,0.89198606271777
2018,16,284,5.335770201307947,5.605580985915493,0.6166451085485604,0.08450704225352113,0.8556338028169014
2018,17,293,5.137834230431614,5.608168373151308,0.569230419454921,0.09556313993174062,0.863481228668942
2019,2,245,5.281092242782841,7.278530612244899,0.6457723178692429,0.09795918367346938,0.8816326530612245
2019,3,270,5.408942269767124,6.051444444444444,0.6389107818475928,0.07407407407407407,0.8666666666666667
2019,4,246,5.379353723713303,6.3398915989159885,0.560802864414282,0.1016260162601626,0.8617886178861789
2019,5,254,5.625372229547861,5.7021456692913395,0.6335870762670344,0.09448818897637795,0.8858267716535433
2019,6,256,5.148713559620586,5.643756510416667,0.619470752234684,0.07421875,0.90625
2019,7,245,5.724169950384979,5.908816326530614,0.49340054050526033,0.12653061224489795,0.8979591836734694
2019,8,261,4.888178215022294,5.0932694763729245,0.6556703912020089,0.04980842911877394,0.9003831417624522
2019,9,243,5.4023491879020344,5.957235939643347,0.5939191330752421,0.11522633744855967,0.8353909465020576
2019,10,218,5.346045372105654,5.5657798165137615,0.6359909051027303,0.08256880733944955,0.8669724770642202
2019,11,250,5.2301296285629215,5.412486666666667,0.5699548995614064,0.096,0.876
2019,12,252,5.275798058368916,5.56003306878307,0.6295482211938881,0.1111111111111111,0.8928571428571429
2019,13,282,5.66576413026644,5.972878250591017,0.5424632509725326,0.10283687943262411,0.8687943262411347
2019,14,299,5.336322524723971,5.613818283166109,0.6024822950606209,0.06354515050167224,0.8695652173913043
2019,15,288,5.380254667294228,5.366527777777778,0.6354815902940916,0.059027777777777776,0.8819444444444444
2019,16,298,5.255146308345753,5.365005592841164,0.6062006545762016,0.09060402684563758,0.8590604026845637
2019,17,282,5.169553934152974,5.109580378250591,0.5773855680656355,0.09929078014184398,0.8546099290780141
2020,2,266,5.936274206245373,7.1174436090225575,0.5182875405870018,0.09774436090225563,0.8571428571428571
2020,3,281,5.451877258642785,6.2161565836298935,0.5804311851105306,0.08896797153024912,0.8647686832740213
2020,4,274,5.283544714444061,5.648783454987835,0.6526947758044818,0.09124087591240876,0.9051094890510949
2020,5,257,5.201562071262673,5.357062256809338,0.6589672088178619,0.0933852140077821,0.8988326848249028
2020,6,261,5.308903281863929,5.831353767560665,0.5987093515522833,0.11877394636015326,0.9157088122605364
2020,7,262,5.830269107417985,6.062366412213741,0.5603580016104369,0.11450381679389313,0.8473282442748091
2020,8,264,5.141487122637383,5.573219696969697,0.570702199061498,0.07196969696969698,0.8825757575757576
2020,9,260,5.224844988872029,5.50026282051282,0.5649522153712359,0.09230769230769231,0.8615384615384616
2020,10,259,5.214125084054071,5.695045045045045,0.5775986376062404,0.09652509652509653,0.8841698841698842
2020,11,264,4.719956193260415,5.068535353535353,0.6786393100832849,0.06439393939393939,0.9204545454545454
2020,12,294,5.3852398641115995,5.640215419501134,0.6408216944287525,0.08503401360544217,0.8945578231292517
2020,13,293,5.291548086747304,5.719232081911263,0.5893598819737376,0.08191126279863481,0.8600682593856656
2020,14,299,4.905834473100416,5.206237458193979,0.6254305967030961,0.07023411371237458,0.8795986622073578
2020,15,315,4.996313447792166,4.9569841269841275,0.6761225372692199,0.07301587301587302,0.8698412698412699
2020,16,306,5.0528844848502175,5.615724400871461,0.6263797515137988,0.08169934640522876,0.8823529411764706
2020,17,305,5.8322493513920595,6.120234972677595,0.572805671535086,0.07540983606557378,0.8295081967213115
2021,2,260,5.215489863441376,6.8653076923076926,0.6355823519311542,0.1,0.9
2021,3,274,5.566628709863456,6.424124087591241,0.5740302481534857,0.10583941605839416,0.8868613138686131
2021,4,294,5.309151611601581,5.70922902494331,0.6312296114466458,0.08503401360544217,0.8673469387755102
2021,5,292,5.908433877093744,6.281900684931507,0.5860106023127882,0.0821917808219178,0.8561643835616438
2021,6,262,4.920314564878825,5.4231870229007635,0.6556929940245364,0.07633587786259542,0.8664122137404581
2021,7,240,4.806192283936301,4.835388888888889,0.693825402895348,0.03333333333333333,0.8791666666666667
2021,8,274,5.241017958506879,5.614324817518249,0.5666869862668696,0.10948905109489052,0.8832116788321168
2021,9,264,4.7312841115442685,5.185568181818182,0.5956397481785537,0.09090909090909091,0.8977272727272727
2021,10,264,4.895689440532406,4.906994949494949,0.5849209254027483,0.08333333333333333,0.9053030303030303
2021,11,289,4.919825911866367,5.0361649365628605,0.6747801999289651,0.08996539792387544,0.9134948096885813
2021,12,284,5.159314221656359,5.498433098591549,0.5556499282483585,0.11267605633802817,0.9084507042253521
2021,13,255,5.420779923594177,5.37764705882353,0.5768118273663788,0.09019607843137255,0.8941176470588236
2021,14,252,5.249720715982676,5.337896825396826,0.620781852975492,0.07936507936507936,0.873015873015873
2021,15,305,4.8255995011545885,5.257491803278689,0.5952769758094122,0.09836065573770492,0.9081967213114754
2021,16,298,5.175329042537849,5.259580536912752,0.564567714233631,0.0738255033557047,0.8557046979865772
2021,17,296,4.73499534874168,4.8667229729729735,0.6787184415609745,0.07094594594594594,0.9121621621621622
2021,18,302,5.672749082192548,5.733532008830022,0.5586848509841291,0.09602649006622517,0.8576158940397351
2025,2,259,5.227322620474411,6.411351351351351,0.5956147220336131,0.08108108108108109,0.8494208494208494
2025,3,273,4.586343471543529,5.302197802197802,0.6653602597405893,0.06227106227106227,0.9157509157509157
2025,4,282,5.007588659767251,5.192671394799055,0.6608038301336092,0.05673758865248227,0.875886524822695
2025,5,251,4.843122469748154,4.921062416998672,0.695324615438119,0.0398406374501992,0.8565737051792829
2025,6,263,5.000959522013331,5.3326108998732575,0.5753937448024797,0.08365019011406843,0.8669201520912547
2025,7,281,5.214383841640142,5.438262158956109,0.6443582027376563,0.08896797153024912,0.8896797153024911
2025,8,239,4.8011146515577785,5.526066945606694,0.6474602282971531,0.06694560669456066,0.8828451882845189
2025,9,257,4.887049175337071,5.105726329442283,0.6594970358326551,0.07392996108949416,0.9105058365758755
2025,10,265,5.072818669614189,5.2284779874213845,0.6212150732638314,0.1169811320754717,0.9018867924528302
2025,11,270,5.228898617588033,5.3606851851851856,0.5695295818447889,0.08518518518518518,0.8888888888888888
2025,12,260,4.88359537222327,5.121961538461538,0.6437934916450034,0.08846153846153847,0.9
2025,13,294,4.686755351032597,5.064246031746031,0.6050121278957732,0.1054421768707483,0.9183673469387755
2025,14,277,4.802002303718367,4.7054753309265935,0.6336095782359379,0.1299638989169675,0.924187725631769
2025,15,291,5.150184363354178,5.355630011454753,0.6262479670728381,0.08934707903780069,0.8762886597938144
2025,16,312,5.06146567965812,5.166250000000001,0.6055022244160446,0.08974358974358974,0.8974358974358975
2025,17,308,4.826453865258979,5.104366883116883,0.6211538350937862,0.09740259740259741,0.8961038961038961
