season,week,k3_selected_max,k1_selected_max,k1_minus_k3,k3_pool_oracle,k1_pool_oracle,k3_regret,k1_regret
2025,5,187.06,201.74,14.68,191.86,201.74,4.8,0.0
2025,6,165.74,167.44,1.7,168.04,167.44,2.3,0.0
2025,7,186.44,183.4,-3.04,186.44,183.4,0.0,0.0
2025,8,170.68,171.28,0.6,183.62,181.52,12.94,10.24
2025,9,198.16,187.6,-10.56,198.16,202.5,0.0,14.9
2025,10,183.4,183.38,-0.02,183.4,183.38,0.0,0.0
2025,11,192.08,197.18,5.1,197.18,197.18,5.1,0.0
2025,12,197.64,199.06,1.42,214.36,214.36,16.72,15.3
2025,13,148.66,151.8,3.14,148.66,151.8,0.0,0.0
2025,14,167.74,175.04,7.3,167.74,175.04,0.0,0.0
2025,15,179.0,180.7,1.7,181.32,189.68,2.32,8.98
2025,16,170.1,165.62,-4.48,170.1,165.62,0.0,0.0
2025,17,165.32,163.52,-1.8,165.32,163.52,0.0,0.0
2025,18,169.1,160.3,-8.8,169.1,160.3,0.0,0.0
