season,week,DEMAX_K80_max,DEMAX_K80_max_k30,pool_oracle,supply_ge220,supply_ge230,winner,gap80,gap30,gap_pool
2023,1,176.94000000000003,161.14000000000001,191.44,0,0,233.24,56.29999999999998,72.1,41.80000000000001
2023,2,159.06,159.06,186.54000000000002,0,0,193.94,34.879999999999995,34.879999999999995,7.399999999999977
2023,3,234.58,212.66,234.58,2,1,296.38,61.79999999999998,83.72,61.79999999999998
2023,4,184.16,184.16,226.50000000000003,1,0,253.7,69.53999999999999,69.53999999999999,27.19999999999996
2023,5,180.88,180.88,195.84,0,0,259.18,78.30000000000001,78.30000000000001,63.34
2023,6,175.38000000000002,158.28,175.38000000000002,0,0,226.38,50.99999999999997,68.1,50.99999999999997
2023,7,180.16000000000003,180.16000000000003,194.86,0,0,238.06,57.89999999999998,57.89999999999998,43.19999999999999
2023,8,188.28000000000003,165.06,192.06,0,0,237.66,49.37999999999997,72.6,45.599999999999994
2023,9,183.5,168.90000000000003,212.2,0,0,250.4,66.9,81.49999999999997,38.20000000000002
2023,10,197.18,186.62,217.26,0,0,264.06,66.88,77.44,46.80000000000001
2023,11,179.01999999999998,172.98000000000002,185.24,0,0,214.82,35.80000000000001,41.839999999999975,29.579999999999984
2023,12,162.16000000000003,160.64,185.46,0,0,220.66,58.49999999999997,60.02000000000001,35.19999999999999
2023,13,190.35999999999999,190.35999999999999,190.35999999999999,0,0,219.16,28.80000000000001,28.80000000000001,28.80000000000001
2023,14,182.84,180.28,198.14,0,0,230.84,48.0,50.56,32.70000000000002
2023,15,184.74,184.74,184.74,0,0,235.24,50.5,50.5,50.5
2023,16,202.42000000000002,187.62,211.32,0,0,226.92000000000002,24.5,39.30000000000001,15.600000000000023
2023,17,164.32,155.88,198.64000000000001,0,0,221.24,56.920000000000016,65.36000000000001,22.599999999999994
2024,1,144.38,144.38,168.36,0,0,196.88,52.5,52.5,28.519999999999982
2024,2,174.07999999999998,174.07999999999998,188.94,0,0,229.92,55.84,55.84,40.97999999999999
2024,3,190.28,157.74,190.56000000000003,0,0,244.14000000000001,53.860000000000014,86.4,53.579999999999984
2024,4,197.78000000000003,161.18,197.78000000000003,0,0,223.96,26.17999999999998,62.78,26.17999999999998
2024,5,184.98,175.58,216.68,0,0,236.92,51.94,61.339999999999975,20.23999999999998
2024,6,164.0,149.6,172.70000000000002,0,0,208.2,44.19999999999999,58.599999999999994,35.49999999999997
2024,7,134.56,129.58,150.57999999999998,0,0,185.36,50.80000000000001,55.78,34.78000000000003
2024,8,164.18,155.32,183.57999999999998,0,0,211.66,47.47999999999999,56.34,28.080000000000013
2024,9,196.92000000000002,174.66000000000003,196.92000000000002,0,0,185.36,-11.560000000000002,10.699999999999989,-11.560000000000002
2024,10,155.92,130.58,165.51999999999998,0,0,178.32,22.400000000000006,47.73999999999998,12.800000000000011
2024,11,194.44000000000003,194.44000000000003,203.48000000000002,0,0,232.5,38.059999999999974,38.059999999999974,29.019999999999982
2024,12,185.07999999999998,185.07999999999998,185.07999999999998,0,0,233.08,48.00000000000003,48.00000000000003,48.00000000000003
2024,13,149.35999999999999,144.38,173.54000000000002,0,0,218.74,69.38000000000002,74.36000000000001,45.19999999999999
2024,14,205.88,180.78,217.28,0,0,281.68,75.80000000000001,100.9,64.4
2024,15,188.96,165.86,209.06,0,0,261.86,72.9,96.0,52.80000000000001
2024,16,194.22000000000003,194.22000000000003,194.22000000000003,0,0,238.48000000000002,44.25999999999999,44.25999999999999,44.25999999999999
2024,17,224.36,224.36,224.36,1,0,241.16,16.799999999999983,16.799999999999983,16.799999999999983
2024,18,186.54,186.54,195.14,0,0,234.04,47.5,47.5,38.900000000000006
