week,player,position,salary,own_pct,pts
15,Amon-Ra St. Brown,WR,7900,13.2,44.4
15,Colby Parkinson,TE,3200,7.27,24.5
15,Ben Sinnott,TE,2700,0.77,4.6
15,Bears DST,DST,3500,4.85,18
16,Justin Herbert,QB,6000,7.01,33.2
16,Chase Brown,RB,6900,6.1,32.9
16,Ashton Jeanty,RB,5600,2,34.8
16,Chris Olave,WR,6500,12.32,39.8
16,Quentin Johnston,WR,4900,1.47,23.4
16,Keenan Allen,WR,4800,8.51,9.4
16,Brock Bowers,TE,5600,2.14,14.3
16,James Cook,RB,7700,13.23,29.4
16,Raiders,DST,2000,2.74,1
17,Drake Maye,QB,6800,11.12,32.44
17,Chase Brown,RB,7400,20.93,32.1
17,Rhamondre Stevenson,RB,5900,4.37,27.2
17,Stefon Diggs,WR,5800,26.02,25.1
17,Michael Wilson,WR,6400,7.23,19.9
17,Trey McBride,TE,7500,34.46,23.6
17,Parker Washington,WR,4800,11.92,22
17,Michael Mayer,TE,2500,19.07,17.9
17,Giants DST,DST,2900,8.28,18
