season,week,best,median_entry
2018,2,185.32,171.71999999999997
2018,3,152.16000000000003,126.26000000000002
2018,4,166.26,143.95999999999998
2018,5,197.12,163.62
2018,6,177.40000000000003,149.0
2018,7,159.07999999999998,135.38
2018,8,181.26,149.16000000000003
2018,9,152.44,125.80000000000001
2018,10,201.20000000000002,152.95000000000002
2018,11,175.5,147.55
2018,12,205.94,186.31
2018,13,160.35999999999999,124.32000000000001
2018,14,158.36,138.84000000000003
2018,15,145.72000000000003,108.27000000000001
2018,16,163.04000000000002,150.94
2018,17,128.1,82.14000000000001
2019,2,162.39999999999998,135.6
2019,3,190.46,152.82999999999998
2019,4,198.58,158.34
2019,5,222.57999999999998,195.93
2019,6,187.22,159.97
2019,7,155.62,115.02
2019,8,197.38,172.03
2019,9,150.6,128.64999999999998
2019,10,181.12,156.51999999999998
2019,11,138.28,121.46
2019,12,140.84,107.09
2019,13,116.32000000000001,101.32000000000002
2019,14,134.86,110.91000000000001
2019,15,155.42000000000002,125.26
2019,16,141.52,123.0
2019,17,173.45999999999998,144.16
2020,2,182.28,161.67999999999998
2020,3,195.74,163.58999999999997
2020,4,177.89999999999998,144.75
2020,5,167.01999999999998,147.01999999999998
2020,6,113.94,95.69
2020,7,118.96,97.99
2020,8,193.4,151.62
2020,9,133.01999999999998,104.16000000000001
2020,10,151.39999999999998,115.5
2020,11,185.46,148.49
2020,12,171.28000000000003,131.13
2020,13,203.06,159.23000000000002
2020,14,175.44,137.24
2020,15,161.62,138.97
2020,16,151.76,129.86
2020,17,175.38,147.68
2021,2,145.6,121.75
2021,3,181.74,151.29
2021,4,179.7,152.5
2021,5,191.48000000000002,128.09
2021,6,147.36,128.26
2021,7,159.04,134.68
2021,8,143.20000000000002,121.08000000000001
2021,9,177.34000000000003,151.44
2021,10,142.8,120.47
2021,11,155.84,134.73999999999998
2021,12,199.5,179.25
2021,13,141.26000000000002,116.99
2021,14,171.01999999999998,149.42000000000002
2021,15,130.3,109.05
2021,16,182.18,138.58
2021,17,171.9,146.95
2021,18,131.34,107.67
