season,week,position,player,salary,ownership_pct,fantasy_points
2019,14,RB,A. Ekeler,6300,4.5%,37.3
2019,14,RB,A. Jones,6700,11.4%,34.2
2019,14,WR,R. Anderson,5100,16.3%,28.0
2019,14,WR,A.J. Brown,5300,6.2%,36.6
2019,14,WR,E. Sanders,5800,2.1%,37.1
2019,14,TE,A. Hooper,6000,2.0%,5.2
2019,14,FLEX,J. White,5500,16.0%,12.4
2019,14,DST,Steelers,3500,7.8%,18.0
2019,15,QB,J. Winston,6900,6.1%,36.72
2019,15,RB,S. Barkley,7700,25.4%,33.3
2019,15,RB,C. Carson,7500,33.8%,29.7
2019,15,WR,C. Conley,3600,12.3%,20.9
2019,15,WR,C. Godwin,7700,22.3%,20.1
2019,15,WR,B. Perriman,4500,7.8%,37.6
2019,15,TE,T. Higbee,3900,34.7%,26.1
2019,15,FLEX,K. Drake,5000,5.2%,42.6
2019,15,DST,Packers,3000,5.9%,13.0
2019,16,QB,A. Dalton,5200,3.2%,37.84
2019,16,RB,S. Barkley,8300,10.1%,46.9
2019,16,RB,M. Mack,6200,12.3%,18.1
2019,16,WR,T. Boyd,5800,13.9%,36.8
2019,16,WR,J. Ross,4200,7.5%,15.0
2019,16,WR,A. Wilson,3800,2.4%,15.8
2019,16,TE,M. Gesicki,3600,7.1%,26.2
2019,16,FLEX,M. Thomas,9300,25.0%,34.6
2019,16,DST,Colts,3300,6.0%,30.0
2019,17,QB,D. Prescott,6300,9.0%,33.62
2019,17,RB,E. Elliott,8000,32.3%,30.4
2019,17,RB,D. Williams,4700,18.9%,34.4
2019,17,WR,M. Gallup,5400,13.4%,32.8
2019,17,WR,S. Sims,4700,15.2%,18.5
2019,17,WR,G. Tate,5100,12.1%,17.8
2019,17,TE,T. Higbee,5600,14.8%,22.4
2019,17,FLEX,D. Henry,8100,13.8%,42.1
2019,17,DST,Bears,2100,29.1%,9.0
2023,1,QB,Tua Tagovailoa,6700,5.8%,32.14
2023,1,RB,Austin Ekeler,8400,15.1%,29.4
2023,1,RB,Kenneth Walker III,6000,9.7%,10.7
2023,1,WR,Kendrick Bourne,3300,2.2%,24.4
2023,1,WR,Calvin Ridley,6500,16.9%,27.1
2023,1,WR,Brandon Aiyuk,4900,5.7%,35.9
2023,1,TE,Hayden Hurst,3000,3.7%,15.1
2023,1,FLEX,Tyreek Hill,8200,23.6%,47.5
2023,1,DST,Commanders,2800,35.5%,11.0
2023,2,QB,Brock Purdy,5700,9.6%,14.74
2023,2,RB,Kyren Williams,5000,5.7%,20.7
2023,2,RB,Zack Moss,4700,6.5%,20.7
2023,2,WR,Deebo Samuel,5600,25.2%,22.1
2023,2,WR,Puka Nacua,4900,11%,33.1
2023,2,WR,Keenan Allen,7100,13.1%,34.1
2023,2,TE,Darren Waller,5500,6.2%,13.6
2023,2,FLEX,Tony Pollard,7500,9.2%,19.9
2023,2,DST,Cowboys,4000,10.5%,15.0
2023,3,QB,Jared Goff,6500,3.7%,19.02
2023,3,RB,Kenneth Walker III,6200,20.4%,30.6
2023,3,RB,Raheem Mostert,6000,16.2%,45.2
2023,3,WR,Tyreek Hill,9000,22.8%,33.7
2023,3,WR,Keenan Allen,7600,15.7%,48.46
2023,3,WR,Tank Dell,3600,20.6%,28.5
2023,3,TE,Sam LaPorta,4000,9.3%,22.4
2023,3,FLEX,Adam Thielen,3900,11.0%,34.5
2023,3,DST,Bills,2900,12.3%,34.0
2023,4,QB,Josh Allen,8200,6.1%,39.5
2023,4,RB,Christian McCaffrey,9200,25.4%,51.7
2023,4,RB,Khalil Herbert,4700,3.3%,25.2
2023,4,WR,Stefon Diggs,8100,12.6%,39.0
2023,4,WR,Nico Collins,5100,6.7%,38.8
2023,4,WR,Adam Thielen,4500,29.3%,15.2
2023,4,TE,Pat Freiermuth,3400,14.7%,3.7
2023,4,FLEX,Michael Wilson,3500,0.3%,26.6
2023,4,DST,Chargers,3100,6.2%,14.0
2023,5,QB,Joe Burrow,6200,6.2%,27.38
2023,5,RB,Breece Hall,5400,31.2%,31.4
2023,5,RB,David Montgomery,6600,44.6%,23.9
2023,5,WR,Jordan Addison,5300,4.3%,18.4
2023,5,WR,Ja'Marr Chase,7900,20.0%,55.2
2023,5,WR,Adam Thielen,5100,15.8%,30.7
2023,5,TE,Dallas Goedert,4200,5.6%,28.7
2023,5,FLEX,De'Von Achane,6100,31.1%,25.5
2023,5,DST,Jets,3100,8.5%,18.0
2023,6,QB,Desmond Ridder,5000,4.2%,22.08
2023,6,RB,Kyren Williams,6500,18.9%,24.8
2023,6,RB,Raheem Mostert,6400,54.8%,37.2
2023,6,WR,Cooper Kupp,9000,19.7%,30.8
2023,6,WR,Amon-Ra St. Brown,7700,4.6%,33.4
2023,6,WR,Drake London,4800,10.8%,24.5
2023,6,TE,Kyle Pitts,3500,9.3%,14.3
2023,6,FLEX,Rashid Shaheed,3700,1.3%,18.7
2023,6,DST,Vikings,3500,3.4%,20.6
2023,7,QB,Patrick Mahomes,8300,11.6%,37.86
2023,7,RB,Jahmyr Gibbs,6300,15.5%,27.6
2023,7,RB,D'Onta Foreman,4800,10.3%,33.0
2023,7,WR,Courtland Sutton,5200,4.4%,19.6
2023,7,WR,Jaxon Smith-Njigba,3900,12.4%,16.3
2023,7,WR,Josh Downs,4500,2.3%,26.5
2023,7,TE,Travis Kelce,8000,17.9%,38.9
2023,7,FLEX,Mark Andrews,5700,19.8%,22.3
2023,7,DST,Browns,3300,12.8%,16.0
2023,8,QB,Dak Prescott,6100,6.4%,32.06
2023,8,RB,Alvin Kamara,7300,29.7%,27.0
2023,8,RB,Breece Hall,5900,45.1%,21.3
2023,8,WR,A.J. Brown,8900,21.7%,36.0
2023,8,WR,CeeDee Lamb,7600,5.4%,44.0
2023,8,WR,Michael Gallup,3400,7.8%,4.0
2023,8,TE,Trey McBride,2800,19.5%,25.5
2023,8,FLEX,DeAndre Hopkins,5500,0.9%,37.8
2023,8,DST,Seahawks,3400,8.6%,10.0
2023,9,QB,C.J. Stroud,6200,6.9%,44.8
2023,9,RB,Bijan Robinson,6100,15.7%,6.9
2023,9,RB,Rachaad White,5600,10.1%,27.9
2023,9,WR,CeeDee Lamb,8200,34.9%,32.1
2023,9,WR,Tank Dell,5500,6.8%,32.6
2023,9,WR,Noah Brown,3100,3.7%,30.3
2023,9,TE,Dalton Schultz,4200,5.7%,31.0
2023,9,FLEX,Josh Jacobs,6900,17.7%,21.8
2023,9,DST,Browns,4200,11.5%,23.0
2023,10,QB,Dak Prescott,6700,7.6%,41.86
2023,10,RB,Rachaad White,5800,21.4%,17.8
2023,10,RB,Najee Harris,4900,13.7%,18.6
2023,10,WR,CeeDee Lamb,8500,12.9%,42.5
2023,10,WR,Brandin Cooks,4200,1.6%,35.3
2023,10,WR,Keenan Allen,8800,8.0%,43.5
2023,10,TE,T.J. Hockenson,5000,6.1%,33.4
2023,10,FLEX,Trey McBride,3500,19.6%,28.1
2023,10,DST,Cardinals,2500,11.8%,3.0
2023,11,QB,Brock Purdy,5800,14.5%,29.72
2023,11,RB,Bijan Robinson,5800,28.9%,20.1
2023,11,RB,Devin Singletary,5300,41.6%,22.8
2023,11,WR,Khalil Shakir,3200,1.5%,23.5
2023,11,WR,Tank Dell,5900,34.5%,31.9
2023,11,WR,D.J. Moore,5600,24.2%,22.6
2023,11,TE,Dalton Kincaid,5400,9.0%,10.6
2023,11,FLEX,Tyreek Hill,9300,17.8%,33.6
2023,11,DST,Cowboys,4100,9.2%,20.0
2023,12,QB,Josh Allen,8100,15.0%,43.66
2023,12,RB,Kyren Williams,6600,18.4%,41.4
2023,12,RB,Jerome Ford,5600,15.8%,11.9
2023,12,WR,Rashee Rice,5500,5.0%,27.7
2023,12,WR,Nico Collins,6400,16.4%,26.4
2023,12,WR,Calvin Ridley,6000,13.8%,21.9
2023,12,TE,Pat Freiermuth,2900,2.9%,24.0
2023,12,FLEX,Rhamondre Stevenson,5800,14.5%,21.7
2023,12,DST,Panthers,3100,1.0%,2.0
2023,13,QB,Brock Purdy,6100,21.1%,32.46
2023,13,RB,Derrick Henry,6800,8.3%,28.0
2023,13,RB,Zack Moss,4600,65.2%,7.7
2023,13,WR,Deebo Samuel,6200,20.7%,38.8
2023,13,WR,Mike Evans,7700,4.8%,32.2
2023,13,WR,Nico Collins,6800,8.8%,37.1
2023,13,TE,Sam LaPorta,5600,6.8%,32.0
2023,13,FLEX,Greg Dortch,3700,9.6%,3.9
2023,13,DST,Patriots,2400,14.1%,7.0
2023,14,QB,Lamar Jackson,7700,3.7%,35.64
2023,14,RB,Rachaad White,6800,3.9%,24.5
2023,14,RB,Joe Mixon,6100,26.0%,21.5
2023,14,WR,Deebo Samuel,6800,16.5%,37.0
2023,14,WR,Drake London,4600,21.3%,32.2
2023,14,WR,Odell Beckham Jr.,3800,7.7%,19.7
2023,14,TE,Isaiah Likely,3500,14.6%,19.3
2023,14,FLEX,Austin Ekeler,7600,5.3%,21.0
2023,14,DST,Vikings,3100,5.9%,20.0
2023,15,QB,Baker Mayfield,5700,1.0%,33.04
2023,15,RB,Christian McCaffrey,9300,35.7%,44.7
2023,15,RB,Rachaad White,7000,15.3%,21.9
2023,15,WR,Demarcus Robinson,5000,11.5%,14.7
2023,15,WR,Noah Brown,5500,5.2%,22.2
2023,15,WR,Jayden Reed,4900,40.7%,17.2
2023,15,TE,David Njoku,4700,14.7%,29.4
2023,15,FLEX,James Cook,6300,4.5%,39.1
2023,15,DST,Browns,3500,7.5%,13.0
2023,16,QB,Joe Flacco,5500,9.9%,29.82
2023,16,RB,Breece Hall,6100,26.9%,43.1
2023,16,RB,Devin Singletary,5500,17.7%,9.3
2023,16,WR,CeeDee Lamb,9200,17.6%,28.2
2023,16,WR,Amari Cooper,6400,11.7%,54.5
2023,16,WR,D.J. Chark Jr.,3100,0.2%,27.8
2023,16,TE,David Njoku,5300,23.3%,16.4
2023,16,FLEX,T.J. Hockenson,5800,9.4%,9.8
2023,16,DST,Jets,3100,29.7%,8.0
2023,17,QB,Lamar Jackson,7700,6.3%,39.34
2023,17,RB,Travis Etienne,7200,7.7%,28.8
2023,17,RB,Kenneth Walker,6100,1.6%,16.5
2023,17,WR,Davante Adams,7400,2.6%,40.6
2023,17,WR,Zay Flowers,5600,10.7%,22.6
2023,17,WR,Darius Slayton,3400,12.3%,23.6
2023,17,TE,George Kittle,5600,8.8%,5.9
2023,17,FLEX,Wan'Dale Robinson,4000,3.7%,19.9
2023,17,DST,Texans,3000,6.1%,24.0
2024,1,QB,Josh Allen,8000,9.3%,32.18
2024,1,RB,De'Von Achane,6800,14.1%,23.0
2024,1,RB,Joe Mixon,6600,8.5%,29.8
2024,1,WR,Josh Reynolds,4200,0.5%,9.5
2024,1,WR,Tyreek Hill,8700,29.2%,29.0
2024,1,WR,Alec Pierce,4000,0.8%,24.5
2024,1,TE,Juwan Johnson,3700,0.8%,10.6
2024,1,FLEX,Rashid Shaheed,4400,2.4%,16.3
2024,1,DST,Vikings,,3.3%,22.0
2024,2,QB,D. Jones,5300,6.9%,18.32
2024,2,RB,A. Kamara,7000,4.3%,47.0
2024,2,RB,J. Mason,5200,50.1%,20.4
2024,2,WR,M. Harrison Jr.,6900,3.6%,32.0
2024,2,WR,C. Godwin,6000,23.2%,27.7
2024,2,WR,M. Nabers,5900,17.6%,31.7
2024,2,TE,T. McBride,6000,6.6%,18.7
2024,2,FLEX,J. Dobbins,5400,27.5%,23.1
2024,2,DST,Cardinals,2300,5.8%,11.0
2024,3,QB,S. Darnold,5500,6.4%,23.24
2024,3,RB,K. Williams,7100,2.8%,31.6
2024,3,RB,Z. Charbonnet,6000,21.9%,25.7
2024,3,WR,J. Jennings,4100,14.3%,49.5
