ordinal,season,week,pool_ceiling,pool_tail194,cap200|fp-off-sis-off-v1:admitted,cap200|fp-off-sis-off-v1:feasible,cap200|fp-off-sis-off-v1:ceiling,cap200|fp-off-sis-off-v1:ceil194,cap200|fp-off-sis-off-v1:k20_max,cap200|fp-off-sis-off-v1:k20_neg_best_pct,cap200|fp-off-sis-off-v1:k20_ge194,cap200|fp-off-sis-off-v1:k40_max,cap200|fp-off-sis-off-v1:k40_neg_best_pct,cap200|fp-off-sis-off-v1:k40_ge194,cap200|fp-off-sis-off-v1:k80_max,cap200|fp-off-sis-off-v1:k80_neg_best_pct,cap200|fp-off-sis-off-v1:k80_ge194,cap200|fp-on-sis-on-v1:admitted,cap200|fp-on-sis-on-v1:feasible,cap200|fp-on-sis-on-v1:ceiling,cap200|fp-on-sis-on-v1:ceil194,cap200|fp-on-sis-on-v1:k20_max,cap200|fp-on-sis-on-v1:k20_neg_best_pct,cap200|fp-on-sis-on-v1:k20_ge194,cap200|fp-on-sis-on-v1:k40_max,cap200|fp-on-sis-on-v1:k40_neg_best_pct,cap200|fp-on-sis-on-v1:k40_ge194,cap200|fp-on-sis-on-v1:k80_max,cap200|fp-on-sis-on-v1:k80_neg_best_pct,cap200|fp-on-sis-on-v1:k80_ge194,cap400|fp-off-sis-off-v1:admitted,cap400|fp-off-sis-off-v1:feasible,cap400|fp-off-sis-off-v1:ceiling,cap400|fp-off-sis-off-v1:ceil194,cap400|fp-off-sis-off-v1:k20_max,cap400|fp-off-sis-off-v1:k20_neg_best_pct,cap400|fp-off-sis-off-v1:k20_ge194,cap400|fp-off-sis-off-v1:k40_max,cap400|fp-off-sis-off-v1:k40_neg_best_pct,cap400|fp-off-sis-off-v1:k40_ge194,cap400|fp-off-sis-off-v1:k80_max,cap400|fp-off-sis-off-v1:k80_neg_best_pct,cap400|fp-off-sis-off-v1:k80_ge194,cap400|fp-on-sis-on-v1:admitted,cap400|fp-on-sis-on-v1:feasible,cap400|fp-on-sis-on-v1:ceiling,cap400|fp-on-sis-on-v1:ceil194,cap400|fp-on-sis-on-v1:k20_max,cap400|fp-on-sis-on-v1:k20_neg_best_pct,cap400|fp-on-sis-on-v1:k20_ge194,cap400|fp-on-sis-on-v1:k40_max,cap400|fp-on-sis-on-v1:k40_neg_best_pct,cap400|fp-on-sis-on-v1:k40_ge194,cap400|fp-on-sis-on-v1:k80_max,cap400|fp-on-sis-on-v1:k80_neg_best_pct,cap400|fp-on-sis-on-v1:k80_ge194,cap800|fp-off-sis-off-v1:admitted,cap800|fp-off-sis-off-v1:feasible,cap800|fp-off-sis-off-v1:ceiling,cap800|fp-off-sis-off-v1:ceil194,cap800|fp-off-sis-off-v1:k20_max,cap800|fp-off-sis-off-v1:k20_neg_best_pct,cap800|fp-off-sis-off-v1:k20_ge194,cap800|fp-off-sis-off-v1:k40_max,cap800|fp-off-sis-off-v1:k40_neg_best_pct,cap800|fp-off-sis-off-v1:k40_ge194,cap800|fp-off-sis-off-v1:k80_max,cap800|fp-off-sis-off-v1:k80_neg_best_pct,cap800|fp-off-sis-off-v1:k80_ge194,cap800|fp-on-sis-on-v1:admitted,cap800|fp-on-sis-on-v1:feasible,cap800|fp-on-sis-on-v1:ceiling,cap800|fp-on-sis-on-v1:ceil194,cap800|fp-on-sis-on-v1:k20_max,cap800|fp-on-sis-on-v1:k20_neg_best_pct,cap800|fp-on-sis-on-v1:k20_ge194,cap800|fp-on-sis-on-v1:k40_max,cap800|fp-on-sis-on-v1:k40_neg_best_pct,cap800|fp-on-sis-on-v1:k40_ge194,cap800|fp-on-sis-on-v1:k80_max,cap800|fp-on-sis-on-v1:k80_neg_best_pct,cap800|fp-on-sis-on-v1:k80_ge194,capall|fp-off-sis-off-v1:admitted,capall|fp-off-sis-off-v1:feasible,capall|fp-off-sis-off-v1:ceiling,capall|fp-off-sis-off-v1:ceil194,capall|fp-off-sis-off-v1:k20_max,capall|fp-off-sis-off-v1:k20_neg_best_pct,capall|fp-off-sis-off-v1:k20_ge194,capall|fp-off-sis-off-v1:k40_max,capall|fp-off-sis-off-v1:k40_neg_best_pct,capall|fp-off-sis-off-v1:k40_ge194,capall|fp-off-sis-off-v1:k80_max,capall|fp-off-sis-off-v1:k80_neg_best_pct,capall|fp-off-sis-off-v1:k80_ge194,capall|fp-on-sis-on-v1:admitted,capall|fp-on-sis-on-v1:feasible,capall|fp-on-sis-on-v1:ceiling,capall|fp-on-sis-on-v1:ceil194,capall|fp-on-sis-on-v1:k20_max,capall|fp-on-sis-on-v1:k20_neg_best_pct,capall|fp-on-sis-on-v1:k20_ge194,capall|fp-on-sis-on-v1:k40_max,capall|fp-on-sis-on-v1:k40_neg_best_pct,capall|fp-on-sis-on-v1:k40_ge194,capall|fp-on-sis-on-v1:k80_max,capall|fp-on-sis-on-v1:k80_neg_best_pct,capall|fp-on-sis-on-v1:k80_ge194,tail200|fp-on-sis-on-v1:admitted,tail200|fp-on-sis-on-v1:feasible,tail200|fp-on-sis-on-v1:ceiling,tail200|fp-on-sis-on-v1:ceil194,tail200|fp-on-sis-on-v1:k20_max,tail200|fp-on-sis-on-v1:k20_neg_best_pct,tail200|fp-on-sis-on-v1:k20_ge194,tail200|fp-on-sis-on-v1:k40_max,tail200|fp-on-sis-on-v1:k40_neg_best_pct,tail200|fp-on-sis-on-v1:k40_ge194,tail200|fp-on-sis-on-v1:k80_max,tail200|fp-on-sis-on-v1:k80_neg_best_pct,tail200|fp-on-sis-on-v1:k80_ge194
10,2023,11,191.16,3556,200,1,170.48,0,155.64,-0.077525,0,155.64,-0.077525,0,155.64,-0.077525,0,200,1,182.94,0,158.14,-0.061545,0,165.54,-0.029205,0,165.54,-0.029205,0,400,1,177.16,0,151.22,-0.112645,0,155.64,-0.077525,0,161.92,-0.042645,0,400,1,182.94,0,151.98,-0.105885,0,158.14,-0.061545,0,165.54,-0.029205,0,800,1,177.16,0,147.82,-0.1472,0,151.22,-0.112645,0,159.22,-0.055425,0,800,1,184.22,0,151.44,-0.11059,0,158.14,-0.061545,0,158.14,-0.061545,0,855,1,177.16,0,147.82,-0.1472,0,155.64,-0.077525,0,159.22,-0.055425,0,3051,1,184.22,0,151.44,-0.11059,0,151.44,-0.11059,0,157.48,-0.065505,0,200,1,169.38,0,151.44,-0.11059,0,158.14,-0.061545,0,158.14,-0.061545,0
11,2023,12,191.36,3693,200,1,170.06,0,146.26,-0.306475,0,153.86,-0.1954,0,170.06,-0.05409,0,200,1,170.06,0,160.76,-0.119465,0,160.76,-0.119465,0,170.06,-0.05409,0,400,1,177.96,0,160.76,-0.119465,0,165.76,-0.079785,0,165.76,-0.079785,0,400,1,179.86,0,169.86,-0.055125,0,169.86,-0.055125,0,169.86,-0.055125,0,800,1,191.36,0,169.86,-0.055125,0,169.86,-0.055125,0,169.86,-0.055125,0,800,1,179.86,0,155.56,-0.17432,0,155.56,-0.17432,0,169.86,-0.055125,0,997,1,191.36,0,169.86,-0.055125,0,169.86,-0.055125,0,169.86,-0.055125,0,3450,1,191.36,0,146.26,-0.306475,0,155.86,-0.170795,0,155.86,-0.170795,0,200,1,179.86,0,145.66,-0.316825,0,145.66,-0.316825,0,169.86,-0.055125,0
12,2023,13,198.16,3654,200,1,186.38,0,164.96,-0.053175,0,164.96,-0.053175,0,186.38,-0.00604,0,200,1,159.76,0,159.76,-0.079875,0,159.76,-0.079875,0,159.76,-0.079875,0,400,1,186.38,0,163.96,-0.057655,0,163.96,-0.057655,0,186.38,-0.00604,0,400,1,186.38,0,159.76,-0.079875,0,164.96,-0.053175,0,164.96,-0.053175,0,800,1,186.38,0,162.86,-0.06277,0,163.96,-0.057655,0,163.96,-0.057655,0,800,1,186.38,0,162.86,-0.06277,0,163.96,-0.057655,0,163.96,-0.057655,0,913,1,186.38,0,162.86,-0.06277,0,163.96,-0.057655,0,171.36,-0.03033,0,3159,1,198.16,1,159.76,-0.079875,0,163.76,-0.05856,0,179.38,-0.01392,0,200,1,177.28,0,167.86,-0.04148,0,167.86,-0.04148,0,167.86,-0.04148,0
13,2023,14,199.88,3533,200,1,193.78,0,184.88,-0.01223,0,193.78,-0.0042,0,193.78,-0.0042,0,200,1,192.14,0,184.68,-0.01248,0,184.68,-0.01248,0,184.68,-0.01248,0,400,1,193.78,0,184.68,-0.01248,0,184.88,-0.01223,0,193.78,-0.0042,0,400,1,195.78,1,184.68,-0.01248,0,184.68,-0.01248,0,184.68,-0.01248,0,800,1,195.78,1,184.68,-0.01248,0,184.88,-0.01223,0,193.78,-0.0042,0,800,1,195.78,1,184.68,-0.01248,0,184.68,-0.01248,0,193.78,-0.0042,0,848,1,195.78,1,184.68,-0.01248,0,184.88,-0.01223,0,193.78,-0.0042,0,3371,1,199.88,1,184.68,-0.01248,0,184.68,-0.01248,0,184.88,-0.01223,0,200,1,193.78,0,184.68,-0.01248,0,184.68,-0.01248,0,193.78,-0.0042,0
14,2023,15,209.66,3536,200,1,180.22,0,166.06,-0.07552,0,166.06,-0.07552,0,180.22,-0.02125,0,200,1,175.36,0,158.26,-0.13165,0,158.26,-0.13165,0,168.52,-0.06205,0,400,1,183.94,0,166.06,-0.07552,0,166.06,-0.07552,0,166.06,-0.07552,0,400,1,185.12,0,166.06,-0.07552,0,166.06,-0.07552,0,168.52,-0.06205,0,800,1,183.94,0,166.06,-0.07552,0,166.06,-0.07552,0,166.06,-0.07552,0,800,1,194.56,1,162.48,-0.098455,0,166.06,-0.07552,0,166.06,-0.07552,0,907,1,183.94,0,166.06,-0.07552,0,166.06,-0.07552,0,166.06,-0.07552,0,3247,1,209.66,1,155.04,-0.161725,0,166.06,-0.07552,0,166.06,-0.07552,0,200,1,179.48,0,155.04,-0.161725,0,166.06,-0.07552,0,166.06,-0.07552,0
15,2023,16,202.72,3660,200,1,202.72,1,154.98,-0.176275,0,202.72,-0.007095,1,202.72,-0.007095,1,200,1,202.44,1,187.14,-0.023755,0,187.14,-0.023755,0,187.14,-0.023755,0,400,1,202.72,1,178.22,-0.04443,0,178.22,-0.04443,0,202.72,-0.007095,1,400,1,202.44,1,160.92,-0.129715,0,187.14,-0.023755,0,187.14,-0.023755,0,800,1,202.72,1,178.22,-0.04443,0,178.22,-0.04443,0,185.02,-0.027695,0,800,1,202.44,1,178.22,-0.04443,0,178.22,-0.04443,0,187.14,-0.023755,0,858,1,202.72,1,178.22,-0.04443,0,178.22,-0.04443,0,185.02,-0.027695,0,2996,1,202.72,1,178.22,-0.04443,0,178.22,-0.04443,0,187.14,-0.023755,0,200,1,188.12,0,178.22,-0.04443,0,178.22,-0.04443,0,188.12,-0.022055,0
16,2023,17,213.74,3609,200,1,166.38,0,158.78,-0.028855,0,158.78,-0.028855,0,158.78,-0.028855,0,200,1,181.68,0,138.6,-0.142985,0,181.68,-0.002325,0,181.68,-0.002325,0,400,1,166.38,0,146.48,-0.080495,0,158.78,-0.028855,0,158.78,-0.028855,0,400,1,181.68,0,164.58,-0.016415,0,164.58,-0.016415,0,164.58,-0.016415,0,800,1,178.18,0,142.26,-0.11096,0,146.18,-0.082425,0,158.78,-0.028855,0,800,1,181.68,0,164.58,-0.016415,0,164.58,-0.016415,0,164.58,-0.016415,0,1000,1,185.54,0,185.54,-0.00136,0,185.54,-0.00136,0,185.54,-0.00136,0,3283,1,213.74,1,164.58,-0.016415,0,164.58,-0.016415,0,190.84,-0.000645,0,200,1,185.54,0,164.58,-0.016415,0,164.58,-0.016415,0,164.58,-0.016415,0
17,2023,18,184.12,3557,200,1,181.86,0,181.86,-0.01341,0,181.86,-0.01341,0,181.86,-0.01341,0,200,1,181.86,0,181.86,-0.01341,0,181.86,-0.01341,0,181.86,-0.01341,0,400,1,181.86,0,181.86,-0.01341,0,181.86,-0.01341,0,181.86,-0.01341,0,400,1,181.86,0,155.16,-0.165795,0,181.86,-0.01341,0,181.86,-0.01341,0,800,1,181.86,0,181.86,-0.01341,0,181.86,-0.01341,0,181.86,-0.01341,0,800,1,181.86,0,161.12,-0.108245,0,161.12,-0.108245,0,181.86,-0.01341,0,831,1,181.86,0,181.86,-0.01341,0,181.86,-0.01341,0,181.86,-0.01341,0,2750,1,181.86,0,146.08,-0.28365,0,171.04,-0.045125,0,181.86,-0.01341,0,200,1,181.86,0,152.64,-0.19547,0,171.04,-0.045125,0,171.04,-0.045125,0
18,2024,1,170.66,3674,200,1,158.56,0,158.56,-0.006275,0,158.56,-0.006275,0,158.56,-0.006275,0,200,1,166.76,0,159.36,-0.005665,0,159.36,-0.005665,0,166.76,-0.00173,0,400,1,158.56,0,143.46,-0.04369,0,158.56,-0.006275,0,158.56,-0.006275,0,400,1,166.76,0,159.36,-0.005665,0,159.36,-0.005665,0,166.76,-0.00173,0,800,1,158.56,0,143.46,-0.04369,0,158.56,-0.006275,0,158.56,-0.006275,0,800,1,166.76,0,151.46,-0.01683,0,159.36,-0.005665,0,159.36,-0.005665,0,1010,1,158.56,0,143.46,-0.04369,0,158.56,-0.006275,0,158.56,-0.006275,0,3667,1,170.66,0,138.36,-0.07361,0,151.46,-0.01683,0,170.66,-0.00088,0,200,1,170.66,0,138.36,-0.07361,0,151.46,-0.01683,0,170.66,-0.00088,0
19,2024,2,208.08,3715,200,1,203.76,1,162.44,-0.03397,0,162.44,-0.03397,0,187.54,-0.00179,0,200,1,207.18,1,175.14,-0.008555,0,175.14,-0.008555,0,207.18,-6.5e-05,1,400,1,203.76,1,162.44,-0.03397,0,162.44,-0.03397,0,179.06,-0.005455,0,400,1,207.18,1,175.14,-0.008555,0,175.14,-0.008555,0,175.14,-0.008555,0,800,1,203.76,1,157.62,-0.05321,0,174.18,-0.00954,0,174.62,-0.00912,0,800,1,207.18,1,175.14,-0.008555,0,175.14,-0.008555,0,175.14,-0.008555,0,1164,1,203.76,1,157.62,-0.05321,0,157.62,-0.05321,0,169.12,-0.01699,0,3713,1,208.08,1,175.14,-0.008555,0,175.14,-0.008555,0,182.02,-0.003805,0,200,1,181.18,0,175.14,-0.008555,0,175.14,-0.008555,0,175.14,-0.008555,0
20,2024,3,207.88,3780,200,1,202.88,1,148.38,-0.09711,0,163.98,-0.036815,0,163.98,-0.036815,0,200,1,164.32,0,164.32,-0.036075,0,164.32,-0.036075,0,164.32,-0.036075,0,400,1,202.88,1,167.12,-0.0296,0,167.12,-0.0296,0,178.78,-0.0116,0,400,1,188.18,0,164.32,-0.036075,0,167.94,-0.027895,0,167.94,-0.027895,0,800,1,202.88,1,128.06,-0.25448,0,154.78,-0.067235,0,167.12,-0.0296,0,800,1,189.18,0,164.32,-0.036075,0,167.94,-0.027895,0,178.78,-0.0116,0,1207,1,203.06,1,160.54,-0.04672,0,160.54,-0.04672,0,167.12,-0.0296,0,3457,1,207.88,1,156.04,-0.062495,0,164.32,-0.036075,0,167.94,-0.027895,0,200,1,178.78,0,156.04,-0.062495,0,164.32,-0.036075,0,178.78,-0.0116,0
21,2024,4,190.18,3648,200,1,158.42,0,158.22,-0.094105,0,158.22,-0.094105,0,158.42,-0.09265,0,200,1,162.12,0,144.56,-0.234355,0,158.42,-0.09265,0,158.42,-0.09265,0,400,1,170.06,0,158.22,-0.094105,0,164.1,-0.057445,0,170.06,-0.03241,0,400,1,170.46,0,158.22,-0.094105,0,158.22,-0.094105,0,165.7,-0.049885,0,800,1,174.86,0,158.22,-0.094105,0,158.22,-0.094105,0,164.1,-0.057445,0,800,1,174.66,0,153.42,-0.134125,0,158.22,-0.094105,0,158.22,-0.094105,0,858,1,174.86,0,158.22,-0.094105,0,158.22,-0.094105,0,164.1,-0.057445,0,3242,1,184.06,0,162.76,-0.06457,0,162.76,-0.06457,0,162.76,-0.06457,0,200,1,168.58,0,168.58,-0.037535,0,168.58,-0.037535,0,168.58,-0.037535,0
22,2024,5,223.58,3767,200,1,198.02,1,185.74,-0.013775,0,185.74,-0.013775,0,185.74,-0.013775,0,200,1,181.42,0,181.42,-0.020535,0,181.42,-0.020535,0,181.42,-0.020535,0,400,1,198.02,1,167.46,-0.06448,0,167.46,-0.06448,0,185.74,-0.013775,0,400,1,181.82,0,157.02,-0.13198,0,181.42,-0.020535,0,181.42,-0.020535,0,800,1,217.18,1,190.98,-0.008025,0,190.98,-0.008025,0,190.98,-0.008025,0,800,1,185.74,0,157.02,-0.13198,0,181.42,-0.020535,0,185.74,-0.013775,0,889,1,217.18,1,173.78,-0.039495,0,173.78,-0.039495,0,190.98,-0.008025,0,3259,1,223.58,1,189.78,-0.009045,0,189.78,-0.009045,0,190.98,-0.008025,0,200,1,189.78,0,189.78,-0.009045,0,189.78,-0.009045,0,189.78,-0.009045,0
23,2024,6,180.7,3666,200,1,163.1,0,145.24,-0.105745,0,145.3,-0.105345,0,163.1,-0.017135,0,200,1,173.5,0,153.34,-0.05038,0,172.52,-0.005145,0,172.52,-0.005145,0,400,1,173.42,0,152.9,-0.052625,0,160.0,-0.02459,0,160.0,-0.02459,0,400,1,173.5,0,147.32,-0.088405,0,153.34,-0.05038,0,172.52,-0.005145,0,800,1,180.7,0,154.6,-0.04425,0,154.6,-0.04425,0,157.9,-0.03135,0,800,1,173.5,0,144.22,-0.1153,0,152.02,-0.057205,0,165.02,-0.01346,0,901,1,180.7,0,154.6,-0.04425,0,154.6,-0.04425,0,172.6,-0.005095,0,3229,1,180.7,0,154.6,-0.04425,0,154.6,-0.04425,0,165.02,-0.01346,0,200,1,180.7,0,154.6,-0.04425,0,154.6,-0.04425,0,163.3,-0.0168,0
24,2024,7,160.46,3560,200,1,143.48,0,143.48,-0.012205,0,143.48,-0.012205,0,143.48,-0.012205,0,200,1,149.68,0,143.48,-0.012205,0,143.48,-0.012205,0,143.48,-0.012205,0,400,1,160.46,0,143.48,-0.012205,0,143.48,-0.012205,0,143.48,-0.012205,0,400,1,152.28,0,143.48,-0.012205,0,143.48,-0.012205,0,143.48,-0.012205,0,701,1,160.46,0,143.48,-0.012205,0,146.56,-0.007925,0,146.56,-0.007925,0,800,1,152.28,0,131.48,-0.0519,0,146.56,-0.007925,0,148.48,-0.005835,0,701,1,160.46,0,143.48,-0.012205,0,146.56,-0.007925,0,146.56,-0.007925,0,3339,1,160.46,0,131.48,-0.0519,0,131.48,-0.0519,0,148.48,-0.005835,0,200,1,148.48,0,131.48,-0.0519,0,131.48,-0.0519,0,148.48,-0.005835,0
25,2024,8,194.5,3633,200,1,178.18,0,169.18,-0.03316,0,170.3,-0.029435,0,170.3,-0.029435,0,200,1,175.84,0,169.2,-0.03312,0,169.2,-0.03312,0,169.2,-0.03312,0,400,1,185.88,0,163.94,-0.053985,0,163.94,-0.053985,0,170.3,-0.029435,0,400,1,175.84,0,169.2,-0.03312,0,169.2,-0.03312,0,169.2,-0.03312,0,791,1,185.88,0,162.56,-0.06111,0,162.56,-0.06111,0,169.66,-0.03159,0,800,1,194.5,1,154.36,-0.116865,0,169.2,-0.03312,0,169.2,-0.03312,0,791,1,185.88,0,162.56,-0.06111,0,162.56,-0.06111,0,169.66,-0.03159,0,3125,1,194.5,1,163.34,-0.05705,0,169.2,-0.03312,0,169.2,-0.03312,0,200,1,171.68,0,163.34,-0.05705,0,163.34,-0.05705,0,169.2,-0.03312,0
26,2024,9,209.76,3593,200,1,182.5,0,167.92,-0.090695,0,175.12,-0.05353,0,175.12,-0.05353,0,200,1,170.16,0,149.5,-0.26685,0,159.48,-0.155695,0,159.48,-0.155695,0,400,1,190.46,0,167.92,-0.090695,0,167.92,-0.090695,0,175.12,-0.05353,0,400,1,176.84,0,146.46,-0.307695,0,146.46,-0.307695,0,168.3,-0.08837,0,791,1,190.46,0,167.92,-0.090695,0,167.92,-0.090695,0,167.92,-0.090695,0,800,1,187.96,0,130.32,-0.56151,0,158.02,-0.16945,0,168.3,-0.08837,0,791,1,190.46,0,167.92,-0.090695,0,167.92,-0.090695,0,167.92,-0.090695,0,3242,1,209.76,1,159.18,-0.158515,0,159.18,-0.158515,0,164.92,-0.111405,0,200,1,167.92,0,159.18,-0.158515,0,159.18,-0.158515,0,167.92,-0.090695,0
27,2024,10,167.92,3519,200,1,155.06,0,144.86,-0.01331,0,144.86,-0.01331,0,155.06,-0.002695,0,200,1,156.42,0,156.42,-0.002085,0,156.42,-0.002085,0,156.42,-0.002085,0,400,1,155.06,0,125.12,-0.125865,0,140.8,-0.022615,0,144.86,-0.01331,0,400,1,156.42,0,147.02,-0.00992,0,156.42,-0.002085,0,156.42,-0.002085,0,749,1,155.06,0,125.12,-0.125865,0,136.84,-0.037685,0,144.86,-0.01331,0,800,1,160.12,0,147.02,-0.00992,0,147.02,-0.00992,0,160.12,-0.001025,0,749,1,155.06,0,125.12,-0.125865,0,136.84,-0.037685,0,144.86,-0.01331,0,3028,1,167.92,0,147.02,-0.00992,0,147.02,-0.00992,0,167.92,-0.00019,0,200,1,167.92,0,147.02,-0.00992,0,147.02,-0.00992,0,167.92,-0.00019,0
28,2024,11,217.94,3506,200,1,193.28,0,179.88,-0.011205,0,193.28,-0.00301,0,193.28,-0.00301,0,200,1,215.08,1,215.08,-0.000195,1,215.08,-0.000195,1,215.08,-0.000195,1,400,1,194.82,1,175.68,-0.016305,0,193.28,-0.00301,0,193.28,-0.00301,0,400,1,215.08,1,215.08,-0.000195,1,215.08,-0.000195,1,215.08,-0.000195,1,705,1,194.82,1,175.68,-0.016305,0,193.28,-0.00301,0,193.28,-0.00301,0,800,1,215.08,1,192.78,-0.00319,0,215.08,-0.000195,1,215.08,-0.000195,1,705,1,194.82,1,175.68,-0.016305,0,193.28,-0.00301,0,193.28,-0.00301,0,2998,1,217.94,1,192.78,-0.00319,0,192.78,-0.00319,0,215.08,-0.000195,1,200,1,215.08,1,192.78,-0.00319,0,193.52,-0.002925,0,215.08,-0.000195,1
29,2024,12,210.4,3736,200,1,183.48,0,160.7,-0.050245,0,160.7,-0.050245,0,167.16,-0.027855,0,200,1,176.5,0,169.1,-0.0232,0,169.1,-0.0232,0,169.1,-0.0232,0,400,1,209.6,1,174.4,-0.013395,0,191.6,-0.00164,0,191.6,-0.00164,0,400,1,176.5,0,169.1,-0.0232,0,169.1,-0.0232,0,169.1,-0.0232,0,800,1,209.6,1,169.1,-0.0232,0,174.4,-0.013395,0,191.6,-0.00164,0,800,1,194.9,1,191.6,-0.00164,0,191.6,-0.00164,0,191.6,-0.00164,0,934,1,209.6,1,169.1,-0.0232,0,174.4,-0.013395,0,191.6,-0.00164,0,3086,1,210.4,1,178.58,-0.00865,0,178.58,-0.00865,0,178.58,-0.00865,0,200,1,192.48,0,178.58,-0.00865,0,178.58,-0.00865,0,178.58,-0.00865,0
30,2024,13,189.56,3600,200,1,176.1,0,149.3,-0.125715,0,156.5,-0.064795,0,157.44,-0.058925,0,200,1,163.74,0,133.28,-0.368085,0,141.78,-0.22281,0,163.74,-0.02926,0,400,1,182.76,0,149.3,-0.125715,0,156.5,-0.064795,0,156.5,-0.064795,0,400,1,163.74,0,131.76,-0.39721,0,149.24,-0.126455,0,149.24,-0.126455,0,800,1,182.76,0,149.3,-0.125715,0,151.56,-0.103765,0,156.5,-0.064795,0,800,1,182.76,0,149.3,-0.125715,0,150.24,-0.116315,0,150.24,-0.116315,0,826,1,182.76,0,149.3,-0.125715,0,151.56,-0.103765,0,156.5,-0.064795,0,3037,1,189.56,0,150.26,-0.116035,0,150.26,-0.116035,0,151.56,-0.103765,0,200,1,166.56,0,150.26,-0.116035,0,150.26,-0.116035,0,156.5,-0.064795,0
31,2024,14,226.48,3490,200,1,192.98,0,168.18,-0.252615,0,168.18,-0.252615,0,176.78,-0.17662,0,200,1,200.38,1,178.88,-0.160585,0,200.38,-0.04838,1,200.38,-0.04838,1,400,1,192.98,0,184.58,-0.12177,0,184.58,-0.12177,0,184.58,-0.12177,0,400,1,221.58,1,178.88,-0.160585,0,217.98,-0.01274,1,217.98,-0.01274,1,730,1,217.98,1,184.58,-0.12177,0,217.98,-0.01274,1,217.98,-0.01274,1,800,1,221.58,1,191.08,-0.085305,0,193.7,-0.073325,0,217.98,-0.01274,1,730,1,217.98,1,184.58,-0.12177,0,217.98,-0.01274,1,217.98,-0.01274,1,3065,1,226.48,1,176.64,-0.17797,0,226.48,-0.00597,1,226.48,-0.00597,1,200,1,226.48,1,176.64,-0.17797,0,226.48,-0.00597,1,226.48,-0.00597,1
32,2024,15,225.66,3584,200,1,176.26,0,170.46,-0.04767,0,170.46,-0.04767,0,176.26,-0.031565,0,200,1,187.66,0,170.46,-0.04767,0,170.46,-0.04767,0,187.66,-0.01288,0,400,1,187.2,0,154.76,-0.123125,0,168.36,-0.05482,0,170.46,-0.04767,0,400,1,201.56,1,191.26,-0.0095,0,191.26,-0.0095,0,191.26,-0.0095,0,800,1,188.6,0,163.16,-0.07591,0,163.16,-0.07591,0,179.76,-0.024065,0,800,1,208.86,1,208.86,-0.00173,1,208.86,-0.00173,1,208.86,-0.00173,1,825,1,188.6,0,163.16,-0.07591,0,163.16,-0.07591,0,179.76,-0.024065,0,3201,1,225.66,1,169.06,-0.052535,0,181.06,-0.021905,0,201.66,-0.003685,1,200,1,209.98,1,164.06,-0.07178,0,178.96,-0.025655,0,182.66,-0.019385,0
33,2024,16,223.08,3552,200,1,193.76,0,189.46,-0.01533,0,189.46,-0.01533,0,193.76,-0.009175,0,200,1,223.08,1,189.14,-0.01581,0,223.08,-0.000115,1,223.08,-0.000115,1,400,1,223.08,1,189.46,-0.01533,0,191.74,-0.011775,0,191.74,-0.011775,0,400,1,223.08,1,187.08,-0.01934,0,189.14,-0.01581,0,191.74,-0.011775,0,673,1,223.08,1,189.46,-0.01533,0,194.92,-0.007935,1,194.92,-0.007935,1,800,1,223.08,1,189.46,-0.01533,0,189.46,-0.01533,0,189.46,-0.01533,0,673,1,223.08,1,189.46,-0.01533,0,194.92,-0.007935,1,194.92,-0.007935,1,2970,1,223.08,1,181.04,-0.03513,0,181.04,-0.03513,0,189.46,-0.01533,0,200,1,189.46,0,181.04,-0.03513,0,188.82,-0.016335,0,189.46,-0.01533,0
34,2024,17,212.86,3604,200,1,198.16,1,160.82,-0.218845,0,161.26,-0.21313,0,198.16,-0.008035,1,200,1,197.86,1,159.92,-0.23036,0,182.86,-0.04209,0,197.86,-0.00829,1,400,1,201.36,1,176.96,-0.071275,0,201.36,-0.00541,1,201.36,-0.00541,1,400,1,197.86,1,163.4,-0.1881,0,163.4,-0.1881,0,178.76,-0.06082,0,771,1,212.86,1,187.96,-0.02601,0,187.96,-0.02601,0,201.36,-0.00541,1,800,1,200.76,1,194.46,-0.012655,1,199.76,-0.006535,1,199.76,-0.006535,1,771,1,212.86,1,187.96,-0.02601,0,187.96,-0.02601,0,201.36,-0.00541,1,2379,1,212.86,1,185.66,-0.032555,0,187.96,-0.02601,0,194.46,-0.012655,1,200,1,200.76,1,185.66,-0.032555,0,185.66,-0.032555,0,194.46,-0.012655,1
35,2024,18,205.64,3689,200,1,178.58,0,178.58,-0.03704,0,178.58,-0.03704,0,178.58,-0.03704,0,200,1,191.04,0,191.04,-0.01019,0,191.04,-0.01019,0,191.04,-0.01019,0,400,1,188.48,0,177.18,-0.04219,0,178.58,-0.03704,0,178.58,-0.03704,0,400,1,191.04,0,191.04,-0.01019,0,191.04,-0.01019,0,191.04,-0.01019,0,540,1,188.48,0,177.34,-0.04156,0,178.58,-0.03704,0,178.58,-0.03704,0,800,1,205.64,1,188.78,-0.013015,0,191.04,-0.01019,0,205.64,-0.00139,1,540,1,188.48,0,177.34,-0.04156,0,178.58,-0.03704,0,178.58,-0.03704,0,2238,1,205.64,1,188.78,-0.013015,0,188.78,-0.013015,0,188.78,-0.013015,0,200,1,194.78,1,188.78,-0.013015,0,188.78,-0.013015,0,191.04,-0.01019,0
