season,target,n,booms,auc_proj_p90,auc_mean_proj,auc_knn,top10pct_boomrate_proj_p90,top10pct_boomrate_knn,auc_base_logit,auc_base_plus_knn,logloss_base,logloss_plus_knn,knn_coef
2021,boom30,3549,110,0.8244574268418409,0.82508393031801,0.6145708319014512,0.11864406779661017,0.06497175141242938,,,,,
2021,boom40,3549,17,0.8523749250549597,0.8912131103857172,0.5805242821930584,0.025423728813559324,0.00847457627118644,,,,,
2022,boom30,4013,119,0.8278541000375497,0.8419697617105394,0.5964929885667672,0.12219451371571072,0.032418952618453865,,,,,
2022,boom40,4013,21,0.8594212233991793,0.8747972134745682,0.5028509399751885,0.02493765586034913,0.00997506234413965,,,,,
2023,boom30,3110,103,0.8210518498907081,0.8243322215800672,0.6323174728223143,0.1414790996784566,0.04823151125401929,,,,,
2023,boom40,3110,17,0.8728247846180179,0.8594739544702459,0.5632833152659706,0.03215434083601286,0.00964630225080386,,,,,
2024,boom30,3230,92,0.8093461634383573,0.8276837919472386,0.4933563333056225,0.09907120743034056,0.021671826625386997,0.8271157203425056,0.8270325879125446,0.11037267991565806,0.1108942993427048,-0.07980033001469737
2024,boom40,3230,16,0.760423148724331,0.7973903235843186,0.4616715930304916,0.01238390092879257,0.009287925696594427,,,,,
